hhld_id,Street,Accesspt_perstreet_hhld,Main municipality,Energy,Sectors,Approximate consumption (kWh),direction,Consumption year,Regio,Number of Access Points,access_pts_factor,accesspt_location,longitude,latitude
hhld27,HELDENPLEIN,2,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694562821376661, 51.052570863274504]",3.694562821376661,51.052570863274504
hhld28,HELDENPLEIN,3,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945651658870786, 51.052571180728364]",3.6945651658870786,51.052571180728364
hhld29,HELDENPLEIN,4,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945675103974964, 51.05257149818223]",3.6945675103974964,51.05257149818223
hhld30,HELDENPLEIN,5,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945698549079142, 51.05257181563609]",3.6945698549079142,51.05257181563609
hhld31,HELDENPLEIN,6,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694572199418332, 51.05257213308996]",3.694572199418332,51.05257213308996
hhld32,HELDENPLEIN,7,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945745439287494, 51.05257245054382]",3.6945745439287494,51.05257245054382
hhld33,HELDENPLEIN,8,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694576888439167, 51.05257276799769]",3.694576888439167,51.05257276799769
hhld34,HELDENPLEIN,9,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694579232949585, 51.05257308545155]",3.694579232949585,51.05257308545155
hhld35,HELDENPLEIN,10,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694581577460003, 51.052573402905416]",3.694581577460003,51.052573402905416
hhld36,HELDENPLEIN,11,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945839219704206, 51.05257372035928]",3.6945839219704206,51.05257372035928
hhld37,HELDENPLEIN,12,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945862664808384, 51.052574037813145]",3.6945862664808384,51.052574037813145
hhld38,HELDENPLEIN,13,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945886109912562, 51.052574355267005]",3.6945886109912562,51.052574355267005
hhld39,HELDENPLEIN,14,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694590955501674, 51.05257467272087]",3.694590955501674,51.05257467272087
